ID,Name,Category,"Energy, kilocalories (kcal)","Fat, total (g)","Fatty acids, saturated (g)","Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)",Linoleic acid (g),Alpha-linolenic acid (g),Eicosapentaenoic acid EPA (g),Docosahexaenoic acid (DHA) (g),Cholesterol (mg),"Carbohydrates, available (g)",Sugars (g),Starch (g),Dietary fibres (g),Protein (g),Salt (NaCl) (g),Alcohol (g),Water (g),"Vitamin A activity, RE (µg)","Vitamin A activity, RAE (µg)",Retinol (µg),Beta- carotene activity (µg),Beta-carotene (µg),Vitamin B1 (thiamine) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B6 (pyridoxine) (mg),Vitamin B12 (cobalamin) (µg),Niacin (mg),Folate (µg),Pantothenic acid (mg),Vitamin C (ascorbic acid) (mg),Vitamin D (calciferol) (µg),Vitamin E (α-tocopherol) (mg),Potassium (K) (mg),Sodium (Na) (mg),Chloride (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Iron (Fe) (mg),Iodide (I) (µg),Zinc (Zn) (mg),Selenium (Se) (µg),Record has changed
480,"Pumpkin, raw",Vegetables/Fresh vegetables,28,0.1,0.0,0.0,0.1,0.02,0.04,0.0,0.0,0.0,4.6,3.9,0.7,2.2,1.1,0.0,0.0,90.4,680.0,340.0,0.0,4081.0,2659.0,0.05,0.07,0.09,0.0,0.5,20.2,0.48,14.9,0.0,,400.0,0.9,65.0,41.0,8.4,27.0,0.2,0.2,0.1,0.2,
13404,Pumpkin seed oil,Fats and oils/Oils,900,100.0,16.4,28.5,49.5,49.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,389.0,0.0,4664.0,4664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
276,Pumpkin seeds,"Nuts, seeds and oleaginous fruit",615,49.1,8.7,16.2,21.0,18.83,0.1,0.0,0.0,0.0,4.7,1.4,1.5,6.0,35.6,0.0,0.0,5.2,2.0,1.0,0.0,9.0,9.0,0.29,0.16,0.1,0.0,2.74,129.0,0.39,1.9,0.0,1.97,900.0,5.3,80.0,63.0,520.0,1090.0,8.2,2.7,5.0,11.0,
1020,"Pumpkin, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),29,0.1,0.0,0.0,0.1,0.02,0.04,0.0,0.0,0.0,4.7,4.0,0.7,2.2,1.1,0.0,0.0,91.8,665.0,333.0,0.0,3992.0,2601.0,0.05,0.06,0.08,0.0,0.43,13.2,0.44,12.2,0.0,,370.0,0.8,67.0,43.0,8.2,28.0,0.2,0.2,0.1,0.2,
1541,"Quiche Lorraine, baked (with cake dough)","Prepared dishes/Cakes, pies and gratins",295,22.2,11.7,6.3,1.5,0.82,0.16,0.014,0.005,127.0,14.5,1.6,12.8,0.6,9.0,1.2,0.0,53.9,191.0,185.0,180.0,66.0,66.0,0.13,0.14,0.07,0.38,0.71,9.3,0.63,4.2,0.9,0.75,150.0,460.0,740.0,49.0,14.0,120.0,0.7,11.0,1.0,,
1542,"Quiche Lorraine, baked (with puff pastry)","Prepared dishes/Cakes, pies and gratins",291,23.4,12.5,6.6,1.5,0.81,0.17,0.015,0.005,131.0,11.5,1.6,9.7,0.5,8.5,1.2,0.0,56.4,202.0,197.0,191.0,71.0,71.0,0.12,0.14,0.07,0.38,0.69,8.9,0.61,4.2,0.9,0.76,140.0,470.0,750.0,48.0,13.0,110.0,0.7,11.0,0.9,,
1055,"Quince, cooked, drained (without addition of sugar)",Fruit/Cooked fruit (incl. cans),49,0.6,0.0,0.2,0.3,0.12,0.0,0.0,0.0,0.0,7.3,7.3,0.0,5.9,0.5,0.0,0.0,85.6,5.0,3.0,0.0,30.0,23.0,0.02,0.03,0.04,0.0,0.2,5.0,0.08,6.5,0.0,0.5,140.0,1.5,2.1,12.0,8.2,20.0,0.7,1.3,0.3,1.0,
476,"Quince, fresh",Fruit/Fresh fruit,47,0.5,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,7.3,7.3,0.0,5.9,0.4,0.0,0.0,84.5,4.0,2.0,0.0,24.0,24.0,0.03,0.03,0.04,0.0,0.2,8.0,0.08,13.0,0.0,0.4,180.0,2.0,1.7,10.0,8.2,20.0,0.6,1.0,0.2,0.8,
13396,"Quinoa, cooked (without addition of salt and fat)","Cereal products, pulses and potatoes/Other cereal products",117,2.0,0.1,0.3,0.8,0.69,0.08,0.0,0.0,0.0,19.1,1.0,13.7,2.7,4.4,0.0,0.0,72.3,0.0,0.0,0.0,3.0,3.0,0.09,0.1,0.09,0.0,0.27,35.0,0.26,0.1,0.0,0.78,220.0,1.0,37.0,19.0,63.0,140.0,1.2,0.6,1.0,0.4,
13394,"Quinoa, raw","Cereal products, pulses and potatoes/Other cereal products",362,6.6,0.5,1.1,2.5,2.23,0.26,0.0,0.0,0.0,58.2,3.1,41.8,8.3,13.3,0.0,0.0,11.4,1.0,1.0,0.0,8.0,8.0,0.4,0.37,0.38,0.0,0.91,135.3,0.88,0.5,0.0,2.25,800.0,1.2,110.0,41.0,180.0,420.0,3.6,1.6,2.9,1.1,
